impl,size,delay,interval,rep,interrupted,latency,checks
simple,2097152,0.03,0.01,27,True,1.240400000000405e-05,100778
simple,2097152,0.03,0.01,28,True,1.3265000000001886e-05,101186
simple,2097152,0.03,0.01,29,True,1.6331000000001372e-05,101034
simple,2097152,0.03,0.05,0,True,1.4026000000003785e-05,101355
simple,2097152,0.03,0.05,1,True,1.3245000000002005e-05,100378
simple,2097152,0.03,0.05,2,True,1.2613000000001595e-05,101143
simple,2097152,0.03,0.05,3,True,1.3135000000004393e-05,100708
simple,2097152,0.03,0.05,4,True,1.2864000000001319e-05,101201
simple,2097152,0.03,0.05,5,True,1.4217000000003865e-05,100777
simple,2097152,0.03,0.05,6,True,1.3956000000002466e-05,100858
simple,2097152,0.03,0.05,7,True,1.4717000000004365e-05,100769
simple,2097152,0.03,0.05,8,True,1.3666000000002454e-05,100905
simple,2097152,0.03,0.05,9,True,1.3786000000001741e-05,100836
simple,2097152,0.03,0.05,10,True,1.5108000000003258e-05,100861
simple,2097152,0.03,0.05,11,True,1.4728000000002045e-05,101032
simple,2097152,0.03,0.05,12,True,1.3565000000003574e-05,100717
simple,2097152,0.03,0.05,13,True,1.4758000000003602e-05,100832
simple,2097152,0.03,0.05,14,True,1.3786000000001741e-05,100657
simple,2097152,0.03,0.05,15,True,1.505800000000182e-05,100691
simple,2097152,0.03,0.05,16,True,1.3645000000003099e-05,100587
simple,2097152,0.03,0.05,17,True,1.3846000000001385e-05,100365
simple,2097152,0.03,0.05,18,True,1.4267000000001834e-05,100902
simple,2097152,0.03,0.05,19,True,1.3626000000002692e-05,100800
simple,2097152,0.03,0.05,20,True,1.3425000000004406e-05,100942
simple,2097152,0.03,0.05,21,True,1.3776000000003535e-05,100863
simple,2097152,0.03,0.05,22,True,1.4357000000003034e-05,100981
simple,2097152,0.03,0.05,23,True,1.404700000000314e-05,100791
simple,2097152,0.03,0.05,24,True,1.3395000000002849e-05,100774
simple,2097152,0.03,0.05,25,True,1.5149000000002494e-05,101161
simple,2097152,0.03,0.05,26,True,1.4537000000001965e-05,101374
simple,2097152,0.03,0.05,27,True,1.4307000000001596e-05,100727
simple,2097152,0.03,0.05,28,True,1.4407000000004472e-05,100658
simple,2097152,0.03,0.05,29,True,1.288400000000467e-05,100809
simple,2097152,0.03,0.1,0,True,1.5169000000002375e-05,84063
simple,2097152,0.03,0.1,1,True,1.30640000000036e-05,103031
simple,2097152,0.03,0.1,2,True,1.3525000000003812e-05,103146
simple,2097152,0.03,0.1,3,True,1.3425000000004406e-05,103000
simple,2097152,0.03,0.1,4,True,1.3996000000002229e-05,102946
simple,2097152,0.03,0.1,5,True,1.3626000000002692e-05,102965
simple,2097152,0.03,0.1,6,True,1.332500000000153e-05,103112
simple,2097152,0.03,0.1,7,True,1.2934000000002638e-05,102887
simple,2097152,0.03,0.1,8,True,1.429700000000339e-05,102993
